,1,2,3,4
SG_PAL1011_101021_B_10_Li,1385,2100,452,73
SG_PAL1011_101025_B_10_Li,1854,1881,908,122
SG_PAL1011_101028_B_10_Li,1281,1676,680,77
SG_PAL1011_101104_B_10_Li,192,2179,2137,146
SG_PAL1011_101106_B_10_Li,1906,2767,1110,100
SG_PAL1011_101108_B_10_Li,2525,2786,1033,142
SG_PAL1011_101113_B_10_Li,3582,3572,2009,275
SG_PAL1011_101115_B_10_Li,2397,2302,1008,143
SG_PAL1011_101118_B_10_Li,2584,1842,702,256
SG_PAL1011_101122_B_10_Li,2480,2328,1361,164
SG_PAL1011_101124_B_10_Li,2216,2207,849,174
SG_PAL1011_101129_B_10_L,2149,2533,2211,195
SG_PAL1011_101202_B_10_Li,1848,1746,1054,173
SG_PAL1011_101206_B_10_Li,1978,1586,1267,244
SG_PAL1011_101209_B_10_Li,2826,1436,784,393
SG_PAL1011_101213_B_10_Li,6960,2429,816,192
SG_PAL1011_101217_B_10_Li,5563,2227,1094,337
SG_PAL1011_101220_B_10_Li,3150,1561,1525,355
SG_PAL1011_101223_B_10_Li,3954,1981,898,265
SG_PAL1011_101228_B_10_Li,5754,2683,1816,256
SG_PAL1011_101231_B_10_Li,8461,3550,3749,754
SG_PAL1011_110103_B_10_Li,7083,4230,1444,168
SG_PAL1011_110107_B_10_Pr,2464,2083,1012,554
SG_PAL1011_110110_B_10_Pr,4246,3596,2248,1144
SG_PAL1011_110113_B_10_Pr,2789,2010,1520,926
SG_PAL1011_110117_B_10_Pr,1961,1834,1225,542
SG_PAL1011_110120_B_10_Pr,1912,2010,1521,497
SG_PAL1011_110124_B_10_Pr,2951,2563,1453,730
SG_PAL1011_110127_B_10_Pr,5629,3768,1402,902
SG_PAL1011_110131_B_10_Pr,6170,4192,1577,857
SG_PAL1011_110203_B_10_Pr,5045,4371,1579,771
SG_PAL1011_110207_B_10_Li,5232,4804,2568,574
SG_PAL1011_110210_B_10_Li,4916,3719,2459,420
SG_PAL1011_110215_B_10_Li,5959,6103,1698,665
SG_PAL1011_110217_B_10_Li,4976,5833,1534,663
SG_PAL1011_110221_B_10_Li,2507,3396,2273,390
SG_PAL1011_110226_B_10_Li,2775,2670,1179,400
SG_PAL1011_110228_B_10_Li,3414,3537,1315,262
SG_PAL1011_110303_B_10_Li,2301,4990,1830,320
SG_PAL1011_110307_B_10_Li,4440,4441,973,395
SG_PAL1011_110310_B_10_Li,4810,5834,1012,569
SG_PAL1011_110314_B_10_Li,2855,5289,2886,350
SG_PAL1011_110317_B_10_Li,1869,4202,1960,376
SG_PAL1011_110321_B_10_Li,2686,4877,2193,336
SG_PAL1011_110324_B_10_Li,2223,4864,2263,312
