clade,organism_name
0,Starkeya novella DSM 506 
1,Aureimonas sp. AU20 
2,Martelella endophytica 
3,Martelella sp. AD-3 
5,Neorhizobium galegae bv. orientalis str. HAMBI 540 
6,Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141 
8,Agrobacterium vitis S4 
9,Sinorhizobium meliloti 1021 
10,Sinorhizobium medicae WSM419 
12,Sinorhizobium fredii NGR234 
14,Candidatus Bartonella ancashi 
15,Bartonella bacilliformis KC583 
17,Bartonella clarridgeiae 73 
18,Bartonella australis Aust/NH1 
20,Bartonella grahamii as4aup 
21,Bartonella tribocorum CIP 105476 
22,Bartonella vinsonii subsp. berkhoffii str. Winnie 
25,Bartonella henselae str. Houston-1 
26,Bartonella henselae 
28,Bartonella quintana str. Toulouse 
33,Hoeflea sp. IMCC20628 
34,Liberibacter crescens BT-1 
35,Candidatus Liberibacter americanus str. Sao Paulo 
36,Candidatus Liberibacter asiaticus str. gxpsy 
37,Candidatus Liberibacter asiaticus str. psy62 
39,Candidatus Liberibacter africanus PTSAPSY 
41,Candidatus Liberibacter solanacearum CLso-ZC1 
45,Maricaulis maris MCS10 
46,Hyphomonas neptunium ATCC 15444 
47,Hirschia baltica ATCC 49814 
50,Rhodovulum sulfidophilum 
51,Rhodovulum sulfidophilum 
53,Dinoroseobacter shibae DFL 12   DSM 16493 
54,Roseibacterium elongatum DSM 19469 
56,Confluentimicrobium sp. EMB200-NS6 
57,Rhodobacter capsulatus SB 1003 
58,Rhodobacter sphaeroides ATCC 17029
59,Rhodobacter sphaeroides ATCC 17025
62,Paracoccus denitrificans PD1222 
63,Paracoccus aminophilus JCM 7686 
67,Halocynthiibacter arcticus 
69,Ketogulonicigenium vulgare Y25 
70,Phaeobacter gallaeciensis 2.10 
71,Phaeobacter gallaeciensis DSM 26640 
73,Leisingera methylohalidivorans DSM 14336 
74,Marinovum algicola DG 898 
77,Ruegeria pomeroyi DSS-3 
78,Ruegeria sp. TM1040 
82,Planktomarina temperata RCA23 
83,Roseobacter litoralis Och 149 
84,Roseobacter denitrificans OCh 114 
87,Octadecabacter temperatus 
88,Octadecabacter arcticus 238 
89,Octadecabacter antarcticus 307 
