studyName	Date GMT	Event Number	Station Name	Depth (m)	Abundance	Thymidine Incorp. (pmol/L/hr)	Leucine Incorp. (pmol/L/hr)
PAL0203	11/16/2002		B	0	837000000	-999	-999
PAL0203	11/19/2002	99	B	0	1290000000	2.91	26.24
PAL0203	11/20/2002	102	B	0	494000000	2.44	33.27
PAL0203	11/21/2002	117	B	0	519000000	-999	-999
PAL0203	11/21/2002	117	B	27	459000000	-999	-999
PAL0203	11/21/2002	109	E	0	419000000	-999	-999
PAL0203	11/21/2002	109	E	44.5	369000000	-999	-999
PAL0203	11/25/2002	135	B	0	302000000	1.11	2.92
PAL0203	11/25/2002	135	B	26	329000000	1.44	6.31
PAL0203	11/25/2002	127	E	0	320000000	1.21	8.52
PAL0203	11/25/2002	127	E	40	249000000	0.57	4.76
PAL0203	11/27/2002	146	B	0	635000000	-999	-999
PAL0203	12/2/2002	177	B	0	452000000	3.21	22.13
PAL0203	12/2/2002	177	B	85	217000000	0.26	2.15
PAL0203	12/2/2002	170	E	0	270000000	1.32	10.14
PAL0203	12/2/2002	170	E	86	170000000	0.11	1.03
PAL0203	12/5/2002	196	B	0	324000000	1.3	6.52
PAL0203	12/5/2002	196	B	75	346000000	0.84	4.97
PAL0203	12/5/2002	195	E	0	238000000	1.24	7.44
PAL0203	12/5/2002	195	E	87	270000000	0.82	4.99
PAL0203	12/9/2002	201	B	0	225000000	0.68	7.93
PAL0203	12/9/2002	201	B	71	269000000	0.36	3.66
PAL0203	12/9/2002	200	E	0	206000000	0.94	8.2
PAL0203	12/9/2002	200	E	80	300000000	0.17	2.9
PAL0203	12/12/2002	210	B	0	314000000	0.41	4.37
PAL0203	12/12/2002	210	B	60	310000000	0.31	2.82
PAL0203	12/12/2002	209	E	0	249000000	0.85	4.53
PAL0203	12/12/2002	209	E	77	277000000	0.3	2
PAL0203	12/16/2002	215	B	0	440000000	1.7	10.15
PAL0203	12/16/2002	215	B	51	308000000	1.31	4.08
PAL0203	12/16/2002	214	E	0	389000000	1.68	9.43
PAL0203	12/16/2002	214	E	60	314000000	1.63	7.23
PAL0203	12/17/2002	219	B	0	292000000	0.43	11.71
PAL0203	12/19/2002	229	B	0	497000000	0.17	3.7
PAL0203	12/19/2002	229	B	56	334000000	-999	2.84
PAL0203	12/19/2002	28	E	0	436000000	0.49	6.42
PAL0203	12/19/2002	228	E	66	280000000	0.11	2.2
PAL0203	12/23/2002	234	B	0	340000000	0.58	9.91
